index,name,id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,Euk./Acanthamoeba/1-185 castellanii str. Neff/L8GMV5_ACACA/1-185,L8GMV5_ACACA,Eukaryota,Amoebozoa,Discosea,Longamoebia,Centramoebida,Acanthamoebidae,Acanthamoeba,Acanthamoeba castellanii (Amoeba),Acanthamoeba castellanii str. Neff,,,,,,,,,,,,,,,,
1,Euk./Acanthamoeba/1-45 castellanii str. Neff/L8HF82_ACACA/217-261,L8HF82_ACACA,Eukaryota,Amoebozoa,Discosea,Longamoebia,Centramoebida,Acanthamoebidae,Acanthamoeba,Acanthamoeba castellanii (Amoeba),Acanthamoeba castellanii str. Neff,,,,,,,,,,,,,,,,
2,Euk./Acanthamoeba/1-190 castellanii str. Neff/L8GRM6_ACACA/105-294,L8GRM6_ACACA,Eukaryota,Amoebozoa,Discosea,Longamoebia,Centramoebida,Acanthamoebidae,Acanthamoeba,Acanthamoeba castellanii (Amoeba),Acanthamoeba castellanii str. Neff,,,,,,,,,,,,,,,,
3,Euk./Acanthamoeba/1-61 castellanii str. Neff/L8GRF1_ACACA/238-298,L8GRF1_ACACA,Eukaryota,Amoebozoa,Discosea,Longamoebia,Centramoebida,Acanthamoebidae,Acanthamoeba,Acanthamoeba castellanii (Amoeba),Acanthamoeba castellanii str. Neff,,,,,,,,,,,,,,,,
4,Euk./Catenaria/1-176 anguillulae PL171/A0A1Y2H8B9_9FUNG/233-408,A0A1Y2H8B9_9FUNG,Eukaryota,Opisthokonta,Fungi,Fungi incertae sedis,Blastocladiomycota,Blastocladiomycota incertae sedis,Blastocladiomycetes,Blastocladiales,Catenariaceae,Catenaria,Catenaria anguillulae,Catenaria anguillulae PL171,,,,,,,,,,,,,
5,Euk./Chlamydomonas/1-265 eustigma/A0A250XN90_9CHLO/401-665,A0A250XN90_9CHLO,Eukaryota,Viridiplantae,Chlorophyta,core chlorophytes,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,Chlamydomonas,Chlamydomonas eustigma,,,,,,,,,,,,,,,,
